(2*3)^200,426825223812027400796974891518773732342988745354489429495479078935112929549619739019072139340757097296812815466676129830954465240517595242384015591919845376,27168161,1718,355
(2*3)^400,182179771682187282513946871240893712673389715281747606674596975493339599720905327003028267800766283867331479599455916367452421574456059646801054954062150177042349998869907885947439947961712484067309738073652485056311556920850878594283008099992731076250733948404739350551934565743979678824151197232629947748581376,6612785,1635,629
(2*3)^600,77758921822273638463652243033738663459096026047499749793055195367088512405958251191527636305592795619147625821196869874979406220179646899435863958367759727796622149608138604042852462403683738935485852634057709256771299230380098822466080142001159030156662377138169091661053378027306159140588698401044531517806120574444647452982608759967619192447037241981639101929668716184831900032478998027811609344055333647488533711459486991110405287751122235682242271887405273317376,11599591,1084,406
(2*3)^800,33189469210173887280385779041428567452955756904969106919323984110874951370652277812211865979465041108398369136413434856146883149454108742224847036344450054348682630007793958969127652921898650896360986996756891317991356857794984147773076383202727653700089312750915119311936878283806483250762940533373697562392208712583916339930912376431140737717277925462943336183354299731317301569412435816967282380524048773791376629827781804583213521196080262567085952571230003992268621040695686438350062464383580475897143428774694585919282172794942882231101979789210278266046873023272481981417397592982990752140754121845208508220494053376,71978788,1665,442
(2*3)^1000,14166102623834861723796252524915224416640471830910191322323547432140618947596486436347661333869287260068907949302029484915942402681211620694598046617844295512220793103312980549591537160959053027940624117598003417503015722697428176155600362263128567590299511776686592862074376328232990325101248680123776914576482815095784568122986221890411837737570098864613342090972756469661488216176894465388028416768338495326989675118087222767384596111351304957869025273802978281783731929966468210579229830069556698928937342508988340792335737744719376598506908977135291983117722648269177947154657697517074993441515526839887073400191797445153760221695723268255006134044062503100710134200414607696976757837002911389023284338696251543694980946202137938610119300450795091488653253649628649410789376,56222997,1222,426
(2*3)^1200,6046449922962463463489328787319647640521166799437120620598970573853997023616535839329735849475784765379281391779382552890784253700677557156620592855309452374391985374459298288344964453713198128495024256587520080513283606319356901867322876621788688410905312414040608108481161311421988809937810719004400142739379849186528905418915846194206907727188336985017200331369968815715894864281029573678531786424334679516201759097434504195573384584364474977555315399533120360708055645514933839281203646221626145470729916383810918606416078598637418462451636758814270212837506102917800793777057470265191514546381297204876546243804084956347895588532358586239822173332869466492257218278896795242556001377004451958424294388277538918073067292072543084337533206494446325938092025187121498158610145885067951675494445997227874995418074910809274688580793534258100884149813550626713831563318624397246391751299891614230773778870629052731113278800948023525376,50538854,1750,677
(2*3)^1400,2580777341636669303425463393046969869225301527569370811228417808276975254113492414769917943900444587817976951461388723451355116111054543423568473093515004199739361503112806371781537901899462004468583275352266105275335386433061930949130645607001017528871327484955680631283424998796196056185238049788906290859301017254519822281238379052496822681985886824968415704173562406279614602129568622429384943367445667583234660141243835617739925570931867837757836981615753994761704712197853008013066119965139153614228925047876961652639870117751624325478803921413117710558664692812025222063947260379615375874544247290223819980158162292244427527376668225263741453652440531528511652821964061802463750192118194662822909995280051583459025305970347298478182870455822155892595542792899269187221371155725101108899454572500035211288946226748780426716590716700802521701218474640495157179238090665620696131772951879109448877572762163061262731382225943637475535207402688016231913944221116999214173669721736509721609074109867223731520208841209286920819070153575363340450567160647078208947231312622031993372332261376,65936580,1388,424
(2*3)^1600,1101540866453080477176779137620993470325105301865621693620489081387476908736456717318335546835154067826333061048405051128575668668393253434058910165572424374466018885535305314589190663820013157870046234032180123427456450682150244358051806510599178770113907438514577247418358522502899658208842395014316695767198818253433451079604458854841202217447865652319321413403548056980555409757962102732128324683961951144327997998222081816535058095685018962160283380977242968484003474971506726246431638192651996088885943701472179052552058986212735590782942549399930987817693442958009181879859444871517852267209897770732372487122690785967779869464269350253483349139194783564515010176871782214977492214788182717545095501161500598918618077744327168086833519359117140736417121769823885594789115624746068183735678835348044201883648224559753601632094945463347006519462973433424653980631439094536910548390697196240487288909521598431011212849087282345551982605912480404486260704923516098681492754869531953015602670742346307010038794179348395345044347119157049435817283893755492141786370199259613346743656712893708882494833649624994194659476301790883069447395508224144824476636276729353186112168894897237720538771282572262806850176009209644888794220273590178336997376,180459196,1564,351
(2*3)^1800,470165426861930660365467740254387367480060288811691783266578606572388749461787965796061018622048258568366066708891442252596049125799657389797439424676647004746709977759829838686292911452094937698092400318605741833161155543913650358879123803597180783250073270955083868258926739012975550539208948581038341363668357807830832396160549255233369807234526994563639826353686569705364520517332510311310666960180979946885357470795413753196816332962297758018543333162844536475049764146031843349760910080283228977821842978718191715149071402280607214394533953740985356611109892282192056552249074160623097023676942290488771475492813517120383889749197437693960259184041270560588998594540704951139458781072696224989259031231891074841622172173395926810562888038347412181005657489221681464741679020002050845667151246745306147908604844527134700996066206476899442120049064165273969609522271907270373131866953842935525090243845817002609132031751716802779628272144246897431668065081798719636971915687114059218173342084445314334003643863200471558845469294289804213060025354748565312470545737797532511930181539104963595964716379279209837325393879197972661381634494144956675288745137624002863431746577639926195819109419224107662350300973429868282413274778160258389751158735213780902496032798529782150183320045644833716000508751737419722971466821048139135323848910008572787639244136055829362969677866144149816972391622037733376,111636091,1410,450
(2*3)^2000,200678463549020953840321782919403917161830133157879085986162623762094817588793167272795253020969514848909596005533714337264451007948588973609895124583669296605410887093277580606708361149167032232636803768462886703197409741441159282628492344956778076687493203364684965085488905263180210562421867895435610338061359952494899859066032830923324192672262342470407970269805970997835454060555983199683330168348250816801353391514367937172118014131422908071030573322287176448860704445302810408017243098981914609152741728134920170778865344030753433089433871400859020327515636578806960942062118164937405667816329355698403575499970858041758378641764409531910294744058603003274357182616977252468991217036459047598774481717364234461148864097587130869058269222276496300980820380509530539873588343597524062309687842107697209347445114420391521576485092925460065700709448273831326900113431286778603063713249481896144965769378123734127032030691463307327971061310778812291367567122294129263344770650108877203934253971283755543318631191179979073485290534579631389922513878304861035518197187182946583947417966178202385257679351391109233611013746732052924341079578053974651220589891583728374241346238359411086112819140992888609326339644271928258405974494957641284674479089430121689059461024414860741671572399058061193878924829254778868086532321520855730260550633167156774533645140598223579748350002386921104379510626043401410258018904512491782127694352404840612735781320424667862606659647602423363340679159216116096018222834161642448689622169701246681337895766551877613959434469376,142558975,1397,460
